"Source:","E:\Documentos\#UTFPR\#LTSat\LtDev\PCB\LtDev.kicad_sch"
"Date:","06/05/2024 19:51:29"
"Tool:","Eeschema 7.0.10"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","126"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"1","16","C1, C2, C3, C6, C7, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C32","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","",""
"2","2","C4, C33","4.7uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","",""
"3","3","C22, C23, C25","10uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","",""
"4","4","C26, C27, C28, C29","22uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","",""
"5","2","C30, C31","30pF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","",""
"6","2","D1, D2","PGB102ST23WR","PGB102ST23WR:PGB102ST23WR","Lt_Dev:SOD23_LTF","https://www.littelfuse.com/media?resourcetype=datasheets&itemid=519a5537-d6fb-47b3-aed4-027d41422935&filename=littelfuse-pulseguard-pgb1-datasheet","","0.79","LITTELFUSE","PGB102ST23WR","576-PGB102ST23WR","https://www.mouser.co.uk/ProductDetail/Littelfuse/PGB102ST23WR?qs=gu7KAQ731USXMlhUbskO0Q%3D%3D"
"7","8","D3, D4, D5, D6, D23, D24, D25, D26","SLVU2.8-MS","Diode:BAV70","Package_TO_SOT_SMD:SOT-23","https://assets.nexperia.com/documents/data-sheet/BAV70_SER.pdf","","","","","",""
"8","6","D7, D8, D11, D19, D20, D21","LED_Red","Device:LED","LED_SMD:LED_0805_2012Metric","~","","","","","",""
"9","2","D9, D10","LED_Yellow","Device:LED","LED_SMD:LED_0805_2012Metric","~","","","","","",""
"10","8","D12, D13, D14, D15, D28, D29, D30, D31","LED_Green","Device:LED","LED_SMD:LED_0805_2012Metric","~","","","","","",""
"11","1","D22","CMS04_TE12L,Q,M_","CMS04_TE12L_Q_M_:CMS04_TE12L,Q,M_","Lt_Dev:SODFL4724X108N","https://datasheet.datasheetarchive.com/originals/distributors/Datasheets-DGA23/1390121.pdf","","1.08","Toshiba","CMS04(TE12L,Q,M)","757-CMS04TE12L,Q,M","https://www.mouser.co.uk/ProductDetail/Toshiba/CMS04TE12LQM?qs=3oXjESXZBsCiyX2tZScGOQ%3D%3D"
"12","2","F1, F2","1206L075_13.2WR","1206L075_13_2WR:1206L075_13.2WR","Lt_Dev:1206L075132WR","https://www.littelfuse.com/~/media/electronics/datasheets/resettable_ptcs/littelfuse_ptc_1206l_datasheet.pdf.pdf","","1.25","LITTELFUSE","1206L075/13.2WR","576-1206L075/13.2WR","https://www.mouser.co.uk/ProductDetail/Littelfuse/1206L075-13.2WR?qs=fp%2Fo%2FcJ74om37j8oG5jgnw%3D%3D"
"13","4","H1, H2, H3, H4","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_2.2mm_M2","~","","","","","",""
"14","1","IC1","TMUX1134PWR","TMUX1134PWR:TMUX1134PWR","Lt_Dev:IC_TMUX1134PWR","https://www.ti.com/lit/gpn/TMUX1134","","1.2","Texas Instruments","TMUX1134PWR","595-TMUX1134PWR","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/TMUX1134PWR?qs=%252B6g0mu59x7L8VGQncKsYmQ%3D%3D"
"15","1","IC2","MMS9013-H-TP","MMS9013-H-TP:MMS9013-H-TP","Lt_Dev:QPNP1B2E3C_SOT-23_MCC","https://mccsemi.com/pdf/Products/MMS9013(SOT-23).pdf","","1.25","MCC","MMS9013-H-TP","833-MMS9013-H-TP","https://www.mouser.co.uk/ProductDetail/Micro-Commercial-Components-MCC/MMS9013-H-TP?qs=P1JMDcb91o5SO6PLL7FtnA%3D%3D"
