Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C2, C3, C32, C6, C7",0805,16,100nF,
"C22, C23, C25",0805,3,10uF,
"C26, C27, C28, C29",0805,4,22uF,
"C30, C31",0805,2,30pF,
"C33, C4",0805,2,4.7uF,
"D1, D2",SOD23_LTF,2,PGB102ST23WR,
"D10, D9",0805,2,LED_Yellow,
"D11, D19, D20, D21, D7, D8",0805,6,LED_Red,
"D12, D13, D14, D15, D28, D29, D30, D31",0805,8,LED_Green,
D22,SODFL4724X108N,1,"CMS04_TE12L,Q,M_",
"D23, D24, D25, D26, D3, D4, D5, D6",SOT-23,8,SLVU2.8-MS,
"F1, F2",1206L075132WR,2,1206L075_13.2WR,
"H1, H2, H3, H4",MountingHole_2.2mm_M2,4,MountingHole,
IC1,IC_TMUX1134PWR,1,TMUX1134PWR,
IC2,QPNP1B2E3C_SOT-23_MCC,1,MMS9013-H-TP,
"IC3, IC4",SOTFL50P160X60-8N,2,TPS2116DRLR,
IC5,SOT65P280X145-8N,1,TS3A4742DCNR,
"IC6, IC7, IC8",SOT65P280X145-8N,3,TS3A4741DCNR,
J1,PinHeader_2x07_P1.27mm_Vertical_SMD,1,Conn_JTAG_02x07,
"J2, J3",PinHeader_2x07_P2.54mm_Vertical_SMD,2,Conn_JTAG_02x07,
J4,TerminalBlock_bornier-2_P5.08mm,1,Screw_Terminal_01x02,
"J5, J6, J7",PinSocket_2x02_P2.54mm_Vertical_SMD,3,Conn_02x02_Odd_Even,
P1,AMPHENOL_12401610E4_2A,1,USB_C_Plug (Conv),
P2,AMPHENOL_12401610E4_2A,1,USB_C_Plug (Prog),
"R1, R2, R3, R4, R5, R6, R7, R8",0805,8,10k,
"R10, R29, R9",0805,3,1k,
"R11, R12",0805,2,4.7k,
"R13, R14, R15, R16, R17, R18, R38, R40, R41, R42, R43",0805,11,100R,
"R21, R22, R23, R24",0805,4,220R,
"R26, R27",0805,2,3.3k,
R28,0805,1,1.5k,
R30,0805,1,22.1k,
R31,0805,1,39k,
R32,0805,1,47.5k,
"R33, R34",0805,2,100k,
"R35, R36, R37",0805,3,120R,
"RV1, RV2",VARC2012X110N,2,V5.5MLA0805NH,
"SW1, SW2",SW_DIP_SPSTx02_Slide_Copal_CHS-02A_W5.08mm_P1.27mm_JPin,2,SW_DIP_x02,
SW3,SW_Push_SPST_NO_Alps_SKRK,1,SW_Push,
"U1, U2",SOT-223-3_TabPin2,2,AMS1117,
U3,LQFP-48_7x7mm_P0.5mm,1,STM32F103CBTx,
U4,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,1,CP2102N-Axx-xQFN24,
Y1,XTAL_MSB2GI_YXC,1,8MHz,
